18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 1, Xp 345 | Xp Modification Required: Level 1, Xp 3750
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 14, Xp 3150 | Xp Modification Required: Level 2, Xp 18750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 14, Xp 3150 | Xp Modification Required: Level 2, Xp 18750
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 5, Xp 3420 | Xp Modification Required: Level 2, Xp 7500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 5, Xp 3420 | Xp Modification Required: Level 2, Xp 7500
18980 Rebirths can glitch on Muscle King Rock | Stats per punch [+5] | Level 20, Xp 3750 | Xp Modification Required: Level 2, Xp 3750
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 20, Xp 3750 | Xp Modification Required: Level 2, Xp 3750
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 20, Xp 3750 | Xp Modification Required: Level 2, Xp 3750
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 20, Xp 3750 | Xp Modification Required: Level 2, Xp 3750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 20, Xp 3750 | Xp Modification Required: Level 2, Xp 3750
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 20, Xp 3750 | Xp Modification Required: Level 2, Xp 3750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 20, Xp 3750 | Xp Modification Required: Level 2, Xp 3750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 20, Xp 3750 | Xp Modification Required: Level 2, Xp 3750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 3, Xp 230 | Xp Modification Required: Level 3, Xp 5000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 18, Xp 1040 | Xp Modification Required: Level 3, Xp 23750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 18, Xp 1040 | Xp Modification Required: Level 3, Xp 23750
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 18, Xp 1040 | Xp Modification Required: Level 3, Xp 23750
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 1, Xp 1050 | Xp Modification Required: Level 3, Xp 11250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 8, Xp 1050 | Xp Modification Required: Level 3, Xp 11250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 4, Xp 1710 | Xp Modification Required: Level 3, Xp 6250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 7, Xp 1725 | Xp Modification Required: Level 3, Xp 10000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 7, Xp 1725 | Xp Modification Required: Level 3, Xp 10000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 13, Xp 2115 | Xp Modification Required: Level 3, Xp 17500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 13, Xp 2115 | Xp Modification Required: Level 3, Xp 17500
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 9, Xp 3450 | Xp Modification Required: Level 3, Xp 13750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 10, Xp 3450 | Xp Modification Required: Level 3, Xp 13750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 10, Xp 3450 | Xp Modification Required: Level 3, Xp 13750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 10, Xp 3450 | Xp Modification Required: Level 3, Xp 13750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 6, Xp 3650 | Xp Modification Required: Level 3, Xp 8750
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 8, Xp 4010 | Xp Modification Required: Level 3, Xp 12500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 9, Xp 4010 | Xp Modification Required: Level 3, Xp 12500
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 9, Xp 4010 | Xp Modification Required: Level 3, Xp 12500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 9, Xp 4010 | Xp Modification Required: Level 3, Xp 12500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 9, Xp 4010 | Xp Modification Required: Level 3, Xp 12500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 1, Xp 4095 | Xp Modification Required: Level 3, Xp 6250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 4, Xp 4095 | Xp Modification Required: Level 3, Xp 6250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 7, Xp 4110 | Xp Modification Required: Level 3, Xp 10000
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 10, Xp 4140 | Xp Modification Required: Level 3, Xp 15000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 10, Xp 4140 | Xp Modification Required: Level 3, Xp 15000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 11, Xp 4140 | Xp Modification Required: Level 3, Xp 15000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 11, Xp 4140 | Xp Modification Required: Level 3, Xp 15000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 11, Xp 4140 | Xp Modification Required: Level 3, Xp 15000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 1, Xp 4440 | Xp Modification Required: Level 3, Xp 7500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 4, Xp 4440 | Xp Modification Required: Level 3, Xp 7500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 5, Xp 4440 | Xp Modification Required: Level 3, Xp 7500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 5, Xp 4440 | Xp Modification Required: Level 3, Xp 7500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 19, Xp 4575 | Xp Modification Required: Level 3, Xp 25000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 16, Xp 4875 | Xp Modification Required: Level 3, Xp 21250
18980 Rebirths can glitch on Muscle King Rock | Stats per punch [+5] | Level 20, Xp 5000 | Xp Modification Required: Level 3, Xp 5000
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 20, Xp 5000 | Xp Modification Required: Level 3, Xp 5000
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 20, Xp 5000 | Xp Modification Required: Level 3, Xp 5000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 20, Xp 5000 | Xp Modification Required: Level 3, Xp 5000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 20, Xp 5000 | Xp Modification Required: Level 3, Xp 5000
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 20, Xp 5000 | Xp Modification Required: Level 3, Xp 5000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 20, Xp 5000 | Xp Modification Required: Level 3, Xp 5000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 20, Xp 5000 | Xp Modification Required: Level 3, Xp 5000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 15, Xp 90 | Xp Modification Required: Level 4, Xp 20000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 15, Xp 90 | Xp Modification Required: Level 4, Xp 20000
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 6, Xp 820 | Xp Modification Required: Level 4, Xp 11250
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 7, Xp 820 | Xp Modification Required: Level 4, Xp 11250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 8, Xp 820 | Xp Modification Required: Level 4, Xp 11250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 8, Xp 820 | Xp Modification Required: Level 4, Xp 11250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 8, Xp 820 | Xp Modification Required: Level 4, Xp 11250
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 17, Xp 910 | Xp Modification Required: Level 4, Xp 22500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 17, Xp 910 | Xp Modification Required: Level 4, Xp 22500
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 1, Xp 1035 | Xp Modification Required: Level 4, Xp 8750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 5, Xp 1035 | Xp Modification Required: Level 4, Xp 8750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 6, Xp 1035 | Xp Modification Required: Level 4, Xp 8750
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 11, Xp 1080 | Xp Modification Required: Level 4, Xp 16250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 12, Xp 1080 | Xp Modification Required: Level 4, Xp 16250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 12, Xp 1080 | Xp Modification Required: Level 4, Xp 16250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 4, Xp 1480 | Xp Modification Required: Level 4, Xp 6250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 14, Xp 1555 | Xp Modification Required: Level 4, Xp 18750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 14, Xp 1555 | Xp Modification Required: Level 4, Xp 18750
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 19, Xp 1960 | Xp Modification Required: Level 4, Xp 25000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 18, Xp 3195 | Xp Modification Required: Level 4, Xp 23750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 10, Xp 3220 | Xp Modification Required: Level 4, Xp 13750
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 6, Xp 3420 | Xp Modification Required: Level 4, Xp 8750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 6, Xp 3420 | Xp Modification Required: Level 4, Xp 8750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 9, Xp 3780 | Xp Modification Required: Level 4, Xp 12500
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 5, Xp 3880 | Xp Modification Required: Level 4, Xp 10000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 6, Xp 3880 | Xp Modification Required: Level 4, Xp 10000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 7, Xp 3880 | Xp Modification Required: Level 4, Xp 10000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 7, Xp 3880 | Xp Modification Required: Level 4, Xp 10000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 11, Xp 3910 | Xp Modification Required: Level 4, Xp 15000
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 14, Xp 3940 | Xp Modification Required: Level 4, Xp 18750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 5, Xp 4210 | Xp Modification Required: Level 4, Xp 7500
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 13, Xp 4270 | Xp Modification Required: Level 4, Xp 17500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 13, Xp 4270 | Xp Modification Required: Level 4, Xp 17500
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 13, Xp 4270 | Xp Modification Required: Level 4, Xp 17500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 13, Xp 4270 | Xp Modification Required: Level 4, Xp 17500
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 15, Xp 4860 | Xp Modification Required: Level 4, Xp 20000
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 8, Xp 5590 | Xp Modification Required: Level 4, Xp 11250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 8, Xp 5590 | Xp Modification Required: Level 4, Xp 11250
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 8, Xp 5605 | Xp Modification Required: Level 4, Xp 13750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 10, Xp 5605 | Xp Modification Required: Level 4, Xp 13750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 10, Xp 5605 | Xp Modification Required: Level 4, Xp 13750
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 9, Xp 5850 | Xp Modification Required: Level 4, Xp 16250
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 12, Xp 5850 | Xp Modification Required: Level 4, Xp 16250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 9, Xp 6165 | Xp Modification Required: Level 4, Xp 12500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 9, Xp 6165 | Xp Modification Required: Level 4, Xp 12500
18980 Rebirths can glitch on Muscle King Rock | Stats per punch [+5] | Level 20, Xp 6250 | Xp Modification Required: Level 4, Xp 6250
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 20, Xp 6250 | Xp Modification Required: Level 4, Xp 6250
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 20, Xp 6250 | Xp Modification Required: Level 4, Xp 6250
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 20, Xp 6250 | Xp Modification Required: Level 4, Xp 6250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 20, Xp 6250 | Xp Modification Required: Level 4, Xp 6250
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 20, Xp 6250 | Xp Modification Required: Level 4, Xp 6250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 20, Xp 6250 | Xp Modification Required: Level 4, Xp 6250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 20, Xp 6250 | Xp Modification Required: Level 4, Xp 6250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 11, Xp 45 | Xp Modification Required: Level 5, Xp 15000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 11, Xp 45 | Xp Modification Required: Level 5, Xp 15000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 1, Xp 345 | Xp Modification Required: Level 5, Xp 7500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 5, Xp 345 | Xp Modification Required: Level 5, Xp 7500
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 19, Xp 480 | Xp Modification Required: Level 5, Xp 25000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 19, Xp 480 | Xp Modification Required: Level 5, Xp 25000
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 15, Xp 780 | Xp Modification Required: Level 5, Xp 21250
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 16, Xp 780 | Xp Modification Required: Level 5, Xp 21250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 16, Xp 780 | Xp Modification Required: Level 5, Xp 21250
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 16, Xp 780 | Xp Modification Required: Level 5, Xp 21250
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 14, Xp 995 | Xp Modification Required: Level 5, Xp 20000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 15, Xp 995 | Xp Modification Required: Level 5, Xp 20000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 7, Xp 1725 | Xp Modification Required: Level 5, Xp 11250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 8, Xp 1725 | Xp Modification Required: Level 5, Xp 11250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 10, Xp 1740 | Xp Modification Required: Level 5, Xp 13750
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 16, Xp 1815 | Xp Modification Required: Level 5, Xp 22500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 17, Xp 1815 | Xp Modification Required: Level 5, Xp 22500
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 1, Xp 1940 | Xp Modification Required: Level 5, Xp 8750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 4, Xp 1940 | Xp Modification Required: Level 5, Xp 8750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 6, Xp 1940 | Xp Modification Required: Level 5, Xp 8750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 6, Xp 1940 | Xp Modification Required: Level 5, Xp 8750
